product_name$$,price$$,description$$,image_url$$,calories$$,nutrition_level$$,type$$,category
Fit Water$$,30$$,"You look like you could use a drink. Well, drink responsibly and sip on some good ol' H20—nothing more, nothing less. Drinking up to 8-10 glasses of water a day keeps your body hydrated, energised, and aids digestion. Grab a bottle and keep it by your side to remember to drink enough water and get your fill every day."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4226/1.jpg"$$,NaN Cal$$,Low calorie$$,veg$$,Drinks
RAW.fit Coconut Water$$,49$$,"Make the most of this coconut water by Raw packed with fibres, electrolytes found in  magnesium and calcium helps in relaxing muscle tension and reducing stress. Enjoy this  100% cold-pressed coconut water to detoxify and flush out the bad toxins."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/WHL309/2.jpg"$$,50 Cal$$,$$,veg$$,Drinks
whole.fit: Good Ol' Shikanji 250ml$$,49$$,"Let's get back to the basics with a refreshing shikanji that's been such a popular fixture in Indian households. The eat.fit version has been sweetened using jaggery. With a refreshing touch of mint leaves, spices like jeera powder, salt and rock salt, the shikanji has been finished off using a dash of lemon. Cheers to good health!"$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4929/1.jpg"$$,220 Cal$$,Low calorie$$,veg$$,Drinks
whole.fit: Watermelon With Rosemary and Ginger$$,49$$,"Flavours of the classic watermelon juice have been uplifted with some rosemary to create a refreshing and fun drink. 92% of watermelon is water which makes it the perfect low-cal hydration beverage. Rosemary on the other hand supports digestive health, is rich in antioxidants too. Spiced with anti-inflammatory ginger, enjoy this anytime, anywhere drink today!"$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4942/1.jpg"$$,127 Cal$$,$$,veg$$,Drinks
whole.fit: Masala Chaas 250ml$$,49$$,"Guzzle up this refreshing chaas flavoured with a medley of spices! Curd, ginger, green chillies, jeera powder and salt come together in this great digestive. Masala chaas is also an excellent source of calcium and vitamins and is great for easing acidity problems."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4926/1.jpg"$$,74 Cal$$,Low calorie$$,veg$$,Drinks
Li'l Sin: Dates Tea Cake$$,29$$,"Enjoy your cake guilt-free. Light and delicious, this whole wheat sponge cake has been sweetened with the goodness of dates and topped with superfood flax seeds. The perfect way to end your meal, the tea cake also pairs well with a cup of coffee as a mid-day snack."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT3945/5.jpg"$$,164 Cal$$,Low calorie$$,veg$$,Desserts
Li'l Sin: Cinnamon Coconut Cake$$,29$$,"Nuts for coconut? Well, you're sure to love this cinnamon-spiced coconut cake that's made using a whole wheat base. Sweetened with jaggery, its time to get tropical with your dessert."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4021/3.jpg"$$,161 Cal$$,Low calorie$$,veg$$,Desserts
Li'l Sin: Lemon Tea Cake$$,29$$,"The perfectly balanced flavours of our lemon tea cake are ideal for those who want a happy indulgence that isn't too sweet. Spiced with ginger and sweetened with jaggery, the cake is made in a whole wheat base and has the goodness of superfood chia seeds."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4251/3.jpg"$$,162 Cal$$,Low calorie$$,veg$$,Desserts
Li'l Sin: Moist Chocolate Cake$$,29$$,"If you're looking for a light chocolate cake that's still as moist and crumbly, look no further. Baked in a whole wheat base that's sweetened with jaggery and cocoa powder, this sponge cake is absolutely delicious! Enjoy it after a meal or, you can even pair it with your coffee for a mid-day snack."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT3946/3.jpg"$$,153 Cal$$,Low calorie$$,veg$$,Desserts
Li'l Sin: Banana Walnut Cake$$,29$$,"The perfect way to end the meal, if you're craving some dessert, it doesn't get better than a banana walnut cake. Rich in potassium and good fats, the combination of ingredients score high on nutrition while satisfying your taste buds too."$$,"https://cdn-images.cure.fit/www-curefit-com/image/upload/w_377,ar_1.33,fl_progressive,f_auto,q_auto/dpr_1/image/singles/eat/meals/EAT4019/2.jpg"$$,198 Cal$$,High fibre$$,veg$$,Desserts
